Startup Name,Industry,Business Description,Company Website,Number of Presenters,Pitchers Average Age,Started in,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Deal Valuation,Has Patents
BluePineFoods,Food,Frozen Momos,https://bluepinefoods.com/,3,Middle,2016,Delhi,95,8,,,50,5,1000,1,1,75,16,,469,
BoozScooters,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,1,Young,2017,Gujarat,4,0.4,,,40,15,267,1,1,40,50,,80,
HeartUpMySleeves,Beauty/Fashion,Detachable Sleeves,https://heartupmysleeves.com/,1,Young,2021,Delhi,,2,,,25,10,250,1,1,25,30,,83,
TagzFoods,Food,Healthy Potato Chips Snacks,https://tagzfoods.com/,2,Middle,2019,Karnataka,700,,48,,70,1,7000,1,1,70,2.75,,2545,
HeadAndHeart,Education,Brain Development Course,https://thehnh.in/,4,Middle,2015,Punjab,30,,,,50,5,1000,0,,,,,,
Agritourism,Agriculture,Tourism,https://www.agritourism.in/,2,Middle,2005,Maharashtra,79,,,,50,5,1000,0,,,,,,
qZenseLabs,Food,Food Freshness Detector,https://www.qzense.com/,2,Middle,2020,Multiple-States,25,,,,100,0.25,40000,1,0,,,,,
Peeschute,Beauty/Fashion,Disposable Urine Bag,https://www.peeschute.com/,1,Young,2019,Maharashtra,100,,,,75,4,1875,1,1,75,6,,1250,
NOCD,Food,Energy Drink,https://www.jouleshealth.com/,2,Middle,2019,Karnataka,,20,,,50,2,2500,1,1,20,15,30,133,
CosIQ,Beauty/Fashion,Intelligent Skincare,https://mycosiq.com/,2,Middle,2021,Delhi,,4,75,,50,7.5,667,1,1,50,25,,200,
JhaJiAchaar,Food,Pickle,https://www.jhajistore.com/,2,Old,2021,Bihar,,5,18,,50,10,500,1,1,56.6,5.62,,1007,
Bummer,Beauty/Fashion,Underwear,https://bummer.in/,1,Young,2020,Gujarat,,15,70,,75,4,1875,1,1,75,7.5,,1000,
RevampMoto,Vehicles/Electrical Vehicles,E-Bike Mitra bud-e RM,https://www.revampmoto.in/,3,Young,,Maharashtra,,0.01,,,100,1,10000,1,1,100,1.5,,6667,
HungryHead,Food,Restaurant serving 80 types of Maggi,http://www.hungryhead.co.in/,2,Middle,2013,Maharashtra,,5.5,,,50,5,1000,0,,,,,,
ShrawaniEngineers,Beauty/Fashion,Belly Button Shaper,https://www.shrawaniengineers.com/,2,Middle,2019,Maharashtra,50,,,,20,10,200,0,,,,,,
SkippiIcePops,Food,Ice-Pops,https://skippi.in/,2,Middle,,Telangana,,6,,,45,5,900,1,1,100,15,,667,
Menstrupedia,Education,Menstrual Awareness Comic,https://www.menstrupedia.com/,2,Middle,,Gujarat,115,,,,50,10,500,1,1,50,20,,250,
Hecoll,Beauty/Fashion,Pollution Resistant Fabric - Healthy Cover For All,https://hecoll.com/,1,Middle,2019,Telangana,107,,,,100,1,10000,0,,,,,,
RaisingSuperstars,Education,Child Development App,https://raisingsuperstars.com/india-page,2,Middle,,,1300,,,,100,2,5000,1,1,100,4,,2500,
Torch-it,Education,Gadgets for visually impaired people,https://mytorchit.com/,1,Middle,2018,Gujarat,,1,,,75,1,7500,1,0,,,,,
Kavach,Education,Report bullying incidents,,2,Young,,,,,,,5,10,50,1,1,5,10,,50,
LaKheerDeli,Food,Kheer in variety of flavors,https://lakheerdeli.com/,3,Middle,,Maharashtra,,6,,,50,7.5,667,1,0,,,,,
BeyondSnack,Food,Kerala Banana Chips,https://www.beyondsnack.in/,1,Middle,,Kerala,,20.6,51,,50,2.5,2000,1,1,50,2.5,,2000,
VivalyfInnovations,Medical/Health,Easy Life Prickless Diabetes Testing Machine,https://vivalyf.in/,2,Young,,Telangana,,,,,56,7.5,747,1,1,56,33.33,,168,
